"","Gene_name","Description","log2FC_male-female","q-value"
"317","MTDH","Protein LYRIC",0.258970989935467,0.368164178773709
"318","CROCC","Rootletin",0.258737635773215,0.462961214356619
"319","BIN1","Myc box-dependent-interacting protein 1",0.258520188120087,0.0675392857070336
"320","PLIN3","Perilipin-3",0.258254089155187,0.0443777015882709
"321","SUOX","Sulfite oxidase, mitochondrial",0.258048692574203,0.375968081677318
"322","BAG6","Large proline-rich protein BAG6",0.258013320804393,0.00817241528631802
"323","PPM1F","Protein phosphatase 1F",0.257633142165366,0.215885259064242
"324","RPL38","60S ribosomal protein L38",0.25738294965122,0.166957016588445
"325","DLST","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",0.257335140221905,0.149839017102196
"326","CDC34","Ubiquitin-conjugating enzyme E2 R1",0.257306536834715,0.0796904027744805
"327","RPS10","40S ribosomal protein S10",0.256878056206039,0.032916482963693
"328","PAFAH1B2","Platelet-activating factor acetylhydrolase IB subunit alpha2",0.256857595491494,0.0582773624419255
"329","PTGR1","Prostaglandin reductase 1",0.256827267419993,0.185351830628396
"330","ACSM5","Acyl-coenzyme A synthetase ACSM5, mitochondrial",0.256732900730078,0.368164178773709
"331","JSRP1","Junctional sarcoplasmic reticulum protein 1",0.256711697738611,0.261161558671333
"332","CTTN","Src substrate cortactin",0.256311075975583,0.0375232100853515
"333","XIRP2","Xin actin-binding repeat-containing protein 2",0.255771047878055,0.49155008523684
"334","NDUFA6","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6",0.255570494962233,0.237227326731938
"335","NDUFAF7","Protein arginine methyltransferase NDUFAF7, mitochondrial",0.255552618147059,0.16312774985761
"336","MRPS7","28S ribosomal protein S7, mitochondrial",0.254805382257807,0.145204323292994
"337","VAMP5","Vesicle-associated membrane protein 5",0.254729508384969,0.228587857990228
"338","UBQLN2","Ubiquilin-2",0.254201142982225,0.117559145171561
"339","EEF1A1","Elongation factor 1-alpha 1",0.254034635091543,0.0933085602548401
"340","ADSS1","Adenylosuccinate synthetase isozyme 1",0.253803600081588,0.0267988106844405
"341","THRAP3","Thyroid hormone receptor-associated protein 3",0.25289924857432,0.164506913630468
"342","NDUFB10","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10",0.252556989425592,0.168008172139221
"343","CPSF7","Cleavage and polyadenylation specificity factor subunit 7",0.252393533709022,0.213419203038983
"344","TST","Thiosulfate sulfurtransferase",0.251888391054964,0.298813516552741
"345","SLC25A6","ADP/ATP translocase 3",0.25186772563185,0.38794357200029
"346","SARS1","Serine--tRNA ligase, cytoplasmic",0.251618371225762,0.00817241528631802
"347","PPP1R14C","Protein phosphatase 1 regulatory subunit 14C",0.251474489960966,0.427261563326778
"348","APOL2","Apolipoprotein L2",0.251321921881674,0.271929437636393
"349","CCDC124","Coiled-coil domain-containing protein 124",0.251267769578092,0.152628209993196
"350","OLA1","Obg-like ATPase 1",0.250743725358332,0.0481972942848222
"351","SPG7","Paraplegin",0.250511102871092,0.032916482963693
"352","RALA","Ras-related protein Ral-A",0.250486630520268,0.122488729468982
"353","FAM185A","Protein FAM185A",0.250188308068235,0.0939024976863033
"354","MRPL19","39S ribosomal protein L19, mitochondrial",0.249903549275421,0.225771996141257
"355","NDRG2","Protein NDRG2",0.249709799190601,0.0776353157833235
"356","NDUFS4","NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",0.249700486862663,0.181995993715173
"357","G6PD","Glucose-6-phosphate 1-dehydrogenase",0.249692309782121,0.380458154130845
"358","PGP","Glycerol-3-phosphate phosphatase",0.249393607918019,0.0867817432434284
"359","MOGS","Mannosyl-oligosaccharide glucosidase",0.249387768749127,0.149839017102196
"360","ASB14","Ankyrin repeat and SOCS box protein 14",0.249380132073037,0.132982041484148
"361","CIAPIN1","Anamorsin",0.248916209340452,0.0775748429987298
"362","EIF3A","Eukaryotic translation initiation factor 3 subunit A",0.248556382631998,0.0232173797131176
"363","ABCF2","ATP-binding cassette sub-family F member 2",0.248439519693095,0.2152410291799
"364","RDH14","Retinol dehydrogenase 14",0.248272489216445,0.111550468015042
"365","ACTR1B","Beta-centractin",0.247952329048392,0.253761716378393
"366","MRPS23","28S ribosomal protein S23, mitochondrial",0.247874979381589,0.108062363834118
"367","AKAP12","A-kinase anchor protein 12",0.247846515015048,0.501042180881417
"368","NAP1L1","Nucleosome assembly protein 1-like 1",0.247366915846575,0.0502397325876198
"369","ETFB","Electron transfer flavoprotein subunit beta",0.247314676420148,0.35818556251104
"370","HINT2","Adenosine 5'-monophosphoramidase HINT2",0.246757530278758,0.0589180224411855
"371","RANBP1","Ran-specific GTPase-activating protein",0.246494993949725,0.0542792088691271
"372","TUBB4B","Tubulin beta-4B chain",0.246442630469939,0.00426637322511352
"373","LIMS1","LIM and senescent cell antigen-like-containing domain protein 1",0.246246624404577,0.0443777015882709
"374","TIMM8A","Mitochondrial import inner membrane translocase subunit Tim8 A",0.246217953899745,0.173149286119197
"375","NDUFAF5","Arginine-hydroxylase NDUFAF5, mitochondrial",0.245955525259776,0.0691036591055002
"376","NDUFA2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2",0.245786520641769,0.253761716378393
"377","HLA-DPA1","HLA class II histocompatibility antigen, DP alpha 1 chain",0.245451825320764,0.393833302221806
"378","HRAS","GTPase HRas",0.245282001415223,0.297204550210448
"379","KLHL40","Kelch-like protein 40",0.245196428736573,0.142922186606152
"380","SEL1L3","Protein sel-1 homolog 3",0.24490117671753,0.277671308124249
"381","NASP","Nuclear autoantigenic sperm protein",0.244351773337575,0.231845047011285
"382","COX6B1","Cytochrome c oxidase subunit 6B1",0.243539799983637,0.094587276516213
"383","PHKA1","Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform",0.243521746468753,0.312573678889607
"384","SYNJ2BP","Synaptojanin-2-binding protein",0.243514380800752,0.237227326731938
"385","SF3A1","Splicing factor 3A subunit 1",0.243409311577395,0.250003591425733
"386","COQ10A","Coenzyme Q-binding protein COQ10 homolog A, mitochondrial",0.243179656737251,0.17494026314739
"387","WDR1","WD repeat-containing protein 1",0.242897742160288,0.0106262103615841
"388","ACOT2","Acyl-coenzyme A thioesterase 2, mitochondrial",0.242886364044139,0.207457906471969
"389","ACY1","Aminoacylase-1",0.242879998100227,0.0267988106844405
"390","LRRC47","Leucine-rich repeat-containing protein 47",0.241487521885292,0.0369833013155782
"391","NT5C1A","Cytosolic 5'-nucleotidase 1A",0.241461475788428,0.171967615431848
"392","GPHN","Gephyrin",0.241361907423572,0.105569119881522
"393","NDUFV1","NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",0.241266662532347,0.185351830628396
"394","NDUFA5","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5",0.240936068425263,0.145204323292994
"395","EIF3F","Eukaryotic translation initiation factor 3 subunit F",0.240830183111321,0.039329704721034
"396","USP48","Ubiquitin carboxyl-terminal hydrolase 48",0.240618233762094,0.458433500405596
"397","ZYX","Zyxin",0.240277874656423,0.147477520768302
"398","ADPRHL1","Inactive ADP-ribosyltransferase ARH2",0.240137284838646,0.117185654960388
"399","RPS11","40S ribosomal protein S11",0.239316229249976,0.182081785513411
"400","DDX19A","ATP-dependent RNA helicase DDX19A",0.238972018853048,0.155134627232173
"401","MRPS9","28S ribosomal protein S9, mitochondrial",0.238801131377524,0.400919694847195
"402","LYPLAL1","Lysophospholipase-like protein 1",0.238465007043304,0.0462420875835474
"403","TUBB2B","Tubulin beta-2B chain",0.238366729228062,0.169336459364882
"404","BRAWNIN","Protein BRAWNIN",0.237840222373542,0.225019693113533
"405","JPH2","Junctophilin-2",0.237644729407515,0.0487953594945911
"406","KIAA1217","Sickle tail protein homolog",0.23716607960929,0.228587857990228
"407","UQCRB","Cytochrome b-c1 complex subunit 7",0.236924641136778,0.155134627232173
"408","UBE2L3","Ubiquitin-conjugating enzyme E2 L3",0.236574831915208,0.04907241907377
"409","MICU2","Calcium uptake protein 2, mitochondrial",0.23642992261145,0.368629818042513
"410","PDP1","[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",0.236239528611947,0.0895823342398523
"411","TSTD1","Thiosulfate:glutathione sulfurtransferase",0.235696669592395,0.298857787810178
"412","DPP3","Dipeptidyl peptidase 3",0.235397617296355,0.0733284434404049
"413","CMAS","N-acylneuraminate cytidylyltransferase",0.234882559303163,0.207457906471969
"414","CTSZ","Cathepsin Z",0.233756720866648,0.141633081007263
"415","WASHC5","WASH complex subunit 5",0.233402545230749,0.120138320721563
"416","STXBP3","Syntaxin-binding protein 3",0.233308284189997,0.0273644913430892
"417","LHPP","Phospholysine phosphohistidine inorganic pyrophosphate phosphatase",0.233186344462611,0.107710627910662
"418","PABPC4","Polyadenylate-binding protein 4",0.233102279376014,0.0362404297650909
"419","CSPG4","Chondroitin sulfate proteoglycan 4",0.232243635932587,0.225683714342401
"420","DBI","Acyl-CoA-binding protein",0.231967489260683,0.134590384921214
"421","RPS20","40S ribosomal protein S20",0.231863174709588,0.0490901925004885
"422","SCLY","Selenocysteine lyase",0.231840558792372,0.298857787810178
"423","SUCLA2","Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",0.231592117864118,0.118932067234156
"424","PPP1R27","Protein phosphatase 1 regulatory subunit 27",0.231078065067017,0.435826100989248
"425","MRPS14","28S ribosomal protein S14, mitochondrial",0.230780331442688,0.442516783564738
"426","KSR2","Kinase suppressor of Ras 2",0.230703140081673,0.292314032177381
"427","ARF5","ADP-ribosylation factor 5",0.230528132868779,0.178306138659226
"428","UQCRC1","Cytochrome b-c1 complex subunit 1, mitochondrial",0.230464222994954,0.166957016588445
"429","UQCRFS1","Cytochrome b-c1 complex subunit Rieske, mitochondrial",0.230003351289113,0.0889584600515577
"430","DIAPH1","Protein diaphanous homolog 1",0.229730871355011,0.166957016588445
"431","TIMM50","Mitochondrial import inner membrane translocase subunit TIM50",0.229680837262288,0.0267988106844405
"432","PET117","Protein PET117 homolog, mitochondrial",0.229433803731888,0.24098203924253
"433","HLA-DRA","HLA class II histocompatibility antigen, DR alpha chain",0.229174949989037,0.253161221251161
"434","SCP2","Sterol carrier protein 2",0.228903715767116,0.0745213244261896
"435","ARPC5L","Actin-related protein 2/3 complex subunit 5-like protein",0.228351810851873,0.111601917753967
"436","XIRP1","Xin actin-binding repeat-containing protein 1",0.228306497692685,0.360435332261188
"437","TUFM","Elongation factor Tu, mitochondrial",0.228164254578711,0.16847563055831
"438","IMPA1","Inositol monophosphatase 1",0.227941492228044,0.0243150563454863
"439","PSMB8","Proteasome subunit beta type-8",0.226791247357966,0.425836892484466
"440","NDUFS6","NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",0.22636892066555,0.233243805581589
"441","CA2","Carbonic anhydrase 2",0.226149409747986,0.0366236309360827
"442","SZRD1","SUZ domain-containing protein 1",0.225584730471429,0.379247584935492
"443","NDUFAF2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2",0.225535210791065,0.56607146699085
"444","CALM1","Calmodulin-1",0.22541887951756,0.169567677451318
"445","GLTP","Glycolipid transfer protein",0.223538872963992,0.0944249548666852
"446","TSN","Translin",0.22327246240938,0.180597049720721
"447","LARS2","Leucine--tRNA ligase, mitochondrial",0.223111849386573,0.362817470530414
"448","RCC1L","RCC1-like G exchanging factor-like protein",0.223092745909431,0.16312774985761
"449","ASB10","Ankyrin repeat and SOCS box protein 10",0.222926112864672,0.419681799663932
"450","PDE12","2',5'-phosphodiesterase 12",0.22215031001015,0.145204323292994
"451","RPS9","40S ribosomal protein S9",0.222057831030314,0.234752396491952
"452","MPC2","Mitochondrial pyruvate carrier 2",0.221984670861179,0.351930140242174
"453","ANP32E","Acidic leucine-rich nuclear phosphoprotein 32 family member E",0.221712612622659,0.0689711778652239
"454","COPG2","Coatomer subunit gamma-2",0.221457482014923,0.225771996141257
"455","GPI","Glucose-6-phosphate isomerase",0.221401903314913,0.247459635030334
"456","TFAM","Transcription factor A, mitochondrial",0.221317195520848,0.212541134485727
"457","MME","Neprilysin",0.220909435685343,0.0948146220623807
"458","ACAA2","3-ketoacyl-CoA thiolase, mitochondrial",0.220690388586334,0.369098783734234
"459","FHOD1","FH1/FH2 domain-containing protein 1",0.220554355466911,0.0507600992256925
"460","NRAP","Nebulin-related-anchoring protein",0.220391447697471,0.409368487725656
"461","CAMK2A","Calcium/calmodulin-dependent protein kinase type II subunit alpha",0.219296133064436,0.134354425931926
"462","GATD3B","Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",0.219237392055309,0.237227326731938
"463","PHYKPL","5-phosphohydroxy-L-lysine phospho-lyase",0.219149231113038,0.0632678880391921
"464","HIKESHI","Protein Hikeshi",0.21908192937874,0.0753752465020577
"465","MSRA","Mitochondrial peptide methionine sulfoxide reductase",0.218959539287496,0.35692032723846
"466","MRPS30","39S ribosomal protein S30, mitochondrial",0.218938291628611,0.29593138577956
"467","PRDX3","Thioredoxin-dependent peroxide reductase, mitochondrial",0.217814678974314,0.0867817432434284
"468","ACE","Angiotensin-converting enzyme",0.217790662050215,0.155053543319578
"469","RTRAF","RNA transcription, translation and transport factor protein",0.217767871012748,0.0543021430469553
"470","KLHL41","Kelch-like protein 41",0.217621673999261,0.0354813363429325
"471","TPT1","Translationally-controlled tumor protein",0.21721941020912,0.0234197561119545
"472","CIRBP","Cold-inducible RNA-binding protein",0.216919414400358,0.0767899234287166
"473","KIF5B","Kinesin-1 heavy chain",0.216683827447333,0.0273644913430892
"474","SYNCRIP","Heterogeneous nuclear ribonucleoprotein Q",0.215805395820899,0.0384010887579529
"475","FBL","rRNA 2'-O-methyltransferase fibrillarin",0.215473755472752,0.132227427473925
"476","MMUT","Methylmalonyl-CoA mutase, mitochondrial",0.215357757101266,0.206025240787738
"477","EIF3L","Eukaryotic translation initiation factor 3 subunit L",0.214882378736728,0.0369833013155782
"478","DES","Desmin",0.214704886140744,0.0582773624419255
"479","NHLRC2","NHL repeat-containing protein 2",0.214456642579266,0.0582773624419255
"480","SEPHS2","Selenide, water dikinase 2",0.214424751680129,0.290685837833267
"481","NDRG3","Protein NDRG3",0.214339337738519,0.258130171746004
"482","UBE2K","Ubiquitin-conjugating enzyme E2 K",0.214297667212307,0.475344388687492
"483","UCHL3","Ubiquitin carboxyl-terminal hydrolase isozyme L3",0.214044747508225,0.0607417894311302
"484","EEF1D","Elongation factor 1-delta",0.213649290657207,0.038731603966925
"485","MT-ATP8","ATP synthase protein 8",0.213615024814473,0.195120291363723
"486","CNN1","Calponin-1",0.213586635894574,0.373352840853773
"487","TUBB2A","Tubulin beta-2A chain",0.213236580362899,0.253761716378393
"488","MRPS34","28S ribosomal protein S34, mitochondrial",0.213174631088066,0.249348479417146
"489","COPS7B","COP9 signalosome complex subunit 7b",0.213008347234821,0.360435332261188
"490","NES","Nestin",0.212655755688335,0.361053291061381
"491","NDUFA8","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8",0.212278285791715,0.225771996141257
"492","HBG2","Hemoglobin subunit gamma-2",0.211965357742249,0.618968400829622
"493","IST1","IST1 homolog",0.211960441072018,0.0849358449740296
"494","COA5","Cytochrome c oxidase assembly factor 5",0.211864105845553,0.313608376275979
"495","MUL1","Mitochondrial ubiquitin ligase activator of NFKB 1",0.211638021179647,0.401321690854232
"496","COQ5","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",0.211435052134659,0.216653305015504
"497","SSPN","Sarcospan",0.211394773808744,0.291606129789431
"498","DNM2","Dynamin-2",0.21097646462054,0.00817241528631802
"499","IDH2","Isocitrate dehydrogenase [NADP], mitochondrial",0.210973451872054,0.209098561179963
"500","DHX15","ATP-dependent RNA helicase DHX15",0.210636337535886,0.217164566402849
"501","ATP5F1D","ATP synthase subunit delta, mitochondrial",0.21002514682724,0.224337385849894
"502","UBE2F","NEDD8-conjugating enzyme UBE2F",0.209614943270834,0.149839017102196
"503","CZIB","CXXC motif containing zinc binding protein",0.209130008048438,0.0783444680856337
