"","Gene_name","Description","log2FC_male-female","q-value","fiber_type"
"286","FN1","Fibronectin",0.258781406121486,0.379804494186432,"type_1"
"287","PROB1","Proline-rich basic protein 1",0.258772206529986,0.298600163349835,"type_1"
"288","QRSL1","Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial",0.258002444523648,0.460373379237395,"type_1"
"289","DHRS4","Dehydrogenase/reductase SDR family member 4",0.257831608405168,0.482874502240823,"type_1"
"290","NRAP","Nebulin-related-anchoring protein",0.257452962768127,0.605773410149365,"type_1"
"291","CORO6","Coronin-6",0.257353324831492,0.202088288495721,"type_1"
"292","ATP5MK","ATP synthase membrane subunit K, mitochondrial",0.257260805325153,0.387889904504529,"type_1"
"293","HSPB7","Heat shock protein beta-7",0.257222648658157,0.202088288495721,"type_1"
"294","KIAA1671","Uncharacterized protein KIAA1671",0.257020678391724,0.421680775201305,"type_1"
"295","PHKG1","Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform",0.256998074825823,0.330094939308824,"type_1"
"296","UQCRB","Cytochrome b-c1 complex subunit 7",0.256943403178461,0.279689651057443,"type_1"
"297","CMAS","N-acylneuraminate cytidylyltransferase",0.256803434769401,0.474581652337036,"type_1"
"298","EGLN1","Egl nine homolog 1",0.25666619622322,0.634372069907324,"type_1"
"299","ACO2","Aconitate hydratase, mitochondrial",0.256618462140505,0.185412359177389,"type_1"
"300","EIF3A","Eukaryotic translation initiation factor 3 subunit A",0.256578852514343,0.264449556489203,"type_1"
"301","COX6B1","Cytochrome c oxidase subunit 6B1",0.25598125306275,0.210960806671548,"type_1"
"302","GORASP2","Golgi reassembly-stacking protein 2",0.255579461783791,0.509803556651628,"type_1"
"303","ACAT1","Acetyl-CoA acetyltransferase, mitochondrial",0.255508489010758,0.202088288495721,"type_1"
"304","TBRG4","FAST kinase domain-containing protein 4",0.255378990473943,0.434400712811039,"type_1"
"305","BCKDHA","2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",0.254560183209186,0.378006835981685,"type_1"
"306","FBLN2","Fibulin-2",0.254328263357474,0.590809602332246,"type_1"
"307","LARS2","Leucine--tRNA ligase, mitochondrial",0.253731626535654,0.454516280487836,"type_1"
"308","CKMT2","Creatine kinase S-type, mitochondrial",0.253048799799252,0.264449556489203,"type_1"
"309","TIMM50","Mitochondrial import inner membrane translocase subunit TIM50",0.252958931248186,0.185412359177389,"type_1"
"310","MCCC1","Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",0.252545952726148,0.426901591733571,"type_1"
"311","GATD1","Glutamine amidotransferase-like class 1 domain-containing protein 1",0.252523668047248,0.257199811838087,"type_1"
"312","PDHA1","Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",0.252282019279125,0.20520256349422,"type_1"
"313","ATP5PF","ATP synthase-coupling factor 6, mitochondrial",0.251967605096493,0.383145693049651,"type_1"
"314","UQCRC2","Cytochrome b-c1 complex subunit 2, mitochondrial",0.251613152157113,0.264449556489203,"type_1"
"315","RPL3","60S ribosomal protein L3",0.251165508774873,0.533316763264242,"type_1"
"316","DLD","Dihydrolipoyl dehydrogenase, mitochondrial",0.251142100578875,0.202088288495721,"type_1"
"317","ABHD11","Protein ABHD11",0.251005699941032,0.298600163349835,"type_1"
"318","BCKDK","[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",0.250733763673402,0.185412359177389,"type_1"
"319","RPS17","40S ribosomal protein S17",0.250560996234517,0.40761405549502,"type_1"
"320","KLHL40","Kelch-like protein 40",0.250450990692229,0.376070050994896,"type_1"
"321","AK2","Adenylate kinase 2, mitochondrial",0.250273493003641,0.185412359177389,"type_1"
"322","MRPS23","28S ribosomal protein S23, mitochondrial",0.249596112994261,0.307344435330036,"type_1"
"323","CYCS","Cytochrome c",0.249525386729754,0.470387628718504,"type_1"
"324","MUL1","Mitochondrial ubiquitin ligase activator of NFKB 1",0.24930363583257,0.484557244095669,"type_1"
"325","STYXL2","Serine/threonine/tyrosine-interacting-like protein 2",0.249269550779458,0.422704364971851,"type_1"
"326","PET117","Protein PET117 homolog, mitochondrial",0.249055590226538,0.40761405549502,"type_1"
"327","ATP1A1","Sodium/potassium-transporting ATPase subunit alpha-1",0.248809112831804,0.285564578847611,"type_1"
"328","PNPT1","Polyribonucleotide nucleotidyltransferase 1, mitochondrial",0.248530338211808,0.174799488583014,"type_1"
"329","RAD23B","UV excision repair protein RAD23 homolog B",0.248216702724076,0.185412359177389,"type_1"
"330","CD38","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1",0.247947185665659,0.374741539640286,"type_1"
"331","PRPF40A","Pre-mRNA-processing factor 40 homolog A",0.24776539386545,0.403195869828328,"type_1"
"332","TACO1","Translational activator of cytochrome c oxidase 1",0.24746776782378,0.290199932058585,"type_1"
"333","MSRA","Mitochondrial peptide methionine sulfoxide reductase",0.247215173340676,0.482874502240823,"type_1"
"334","SPAG9","C-Jun-amino-terminal kinase-interacting protein 4",0.24689306902973,0.192062424039158,"type_1"
"335","SCRN2","Secernin-2",0.246812163160401,0.469051589886223,"type_1"
"336","CPPED1","Serine/threonine-protein phosphatase CPPED1",0.246569515663984,0.481560469558625,"type_1"
"337","SLIRP","SRA stem-loop-interacting RNA-binding protein, mitochondrial",0.246373171423883,0.267132055199581,"type_1"
"338","HLA-DPA1","HLA class II histocompatibility antigen, DP alpha 1 chain",0.246368027827621,0.619794792695112,"type_1"
"339","THEM4","Acyl-coenzyme A thioesterase THEM4",0.246028886095475,0.567766198792201,"type_1"
"340","TXNDC17","Thioredoxin domain-containing protein 17",0.245336499142267,0.40761405549502,"type_1"
"341","NAP1L1","Nucleosome assembly protein 1-like 1",0.245065683775589,0.20520256349422,"type_1"
"342","MOCS2","Molybdopterin synthase catalytic subunit",0.244838285519069,0.215725809546001,"type_1"
"343","HDHD5","Haloacid dehalogenase-like hydrolase domain-containing 5",0.244330289476595,0.264449556489203,"type_1"
"344","ANP32E","Acidic leucine-rich nuclear phosphoprotein 32 family member E",0.244009647943273,0.298600163349835,"type_1"
"345","TPI1","Triosephosphate isomerase",0.243708737494256,0.202088288495721,"type_1"
"346","MEAK7","MTOR-associated protein MEAK7",0.243652997656332,0.602949575647175,"type_1"
"347","MDH2","Malate dehydrogenase, mitochondrial",0.243358063546768,0.185412359177389,"type_1"
"348","PSMD7","26S proteasome non-ATPase regulatory subunit 7",0.242480079402391,0.264449556489203,"type_1"
"349","OXSM","3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",0.242416206799206,0.407344182099538,"type_1"
"350","RTN4IP1","Reticulon-4-interacting protein 1, mitochondrial",0.242119802694349,0.284730822302244,"type_1"
"351","RPL24","60S ribosomal protein L24",0.242073041897614,0.491840460760724,"type_1"
"352","PSMD8","26S proteasome non-ATPase regulatory subunit 8",0.242009833054055,0.224470229529256,"type_1"
"353","FAM162A","Protein FAM162A",0.240810653355911,0.302275843081524,"type_1"
"354","CDNF","Cerebral dopamine neurotrophic factor",0.23861948466444,0.410468935132501,"type_1"
"355","FASTKD2","FAST kinase domain-containing protein 2, mitochondrial",0.238542426154579,0.267132055199581,"type_1"
"356","TAGLN2","Transgelin-2",0.238170784456424,0.307344435330036,"type_1"
"357","HMGB1","High mobility group protein B1",0.237526387516033,0.482874502240823,"type_1"
"358","PDCL3","Phosducin-like protein 3",0.235674964463177,0.496751710619059,"type_1"
"359","RANBP1","Ran-specific GTPase-activating protein",0.23538884476099,0.35446170396897,"type_1"
"360","MIEF1","MIEF1 upstream open reading frame protein",0.235375440803626,0.556553736673669,"type_1"
"361","PHYKPL","5-phosphohydroxy-L-lysine phospho-lyase",0.235177432119849,0.20520256349422,"type_1"
"362","ARHGAP1","Rho GTPase-activating protein 1",0.234537181387479,0.454734734488767,"type_1"
"363","EIF3I","Eukaryotic translation initiation factor 3 subunit I",0.234514423253261,0.302275843081524,"type_1"
"364","MICOS10","MICOS complex subunit MIC10",0.234503946589616,0.645840916189469,"type_1"
"365","PYGL","Glycogen phosphorylase, liver form",0.234395246980254,0.567052596784608,"type_1"
"366","EIF3F","Eukaryotic translation initiation factor 3 subunit F",0.233809692336401,0.273529411215015,"type_1"
"367","NME1","Nucleoside diphosphate kinase A",0.233430214397497,0.301566534841449,"type_1"
"368","LAMTOR1","Ragulator complex protein LAMTOR1",0.233085020574091,0.369048207299434,"type_1"
"369","PSMC1","26S proteasome regulatory subunit 4",0.232963383876688,0.20520256349422,"type_1"
"370","ACOT2","Acyl-coenzyme A thioesterase 2, mitochondrial",0.232877573718007,0.20520256349422,"type_1"
"371","EPB41L2","Band 4.1-like protein 2",0.232647716202294,0.567052596784608,"type_1"
"372","C1QBP","Complement component 1 Q subcomponent-binding protein, mitochondrial",0.232346197231145,0.267132055199581,"type_1"
"373","NDUFB10","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10",0.232190116094145,0.267132055199581,"type_1"
"374","IGFBP7","Insulin-like growth factor-binding protein 7",0.232174781143318,0.482874502240823,"type_1"
"375","POR","NADPH--cytochrome P450 reductase",0.2320628336631,0.472779374275317,"type_1"
"376","SMTNL1","Smoothelin-like protein 1",0.231801417057138,0.369048207299434,"type_1"
"377","HSDL2","Hydroxysteroid dehydrogenase-like protein 2",0.231600367360308,0.326800201213921,"type_1"
"378","NDUFA7","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7",0.231442607600755,0.279689651057443,"type_1"
"379","PPCDC","Phosphopantothenoylcysteine decarboxylase",0.230923801726043,0.590999354520212,"type_1"
"380","ARF1","ADP-ribosylation factor 1",0.229514866429501,0.341031366617068,"type_1"
"381","MOGS","Mannosyl-oligosaccharide glucosidase",0.22948501682669,0.525924086764073,"type_1"
"382","PPP1R12B","Protein phosphatase 1 regulatory subunit 12B",0.229108585365493,0.264449556489203,"type_1"
"383","ATP5MG","ATP synthase subunit g, mitochondrial",0.227891581406206,0.454516280487836,"type_1"
"384","CPSF6","Cleavage and polyadenylation specificity factor subunit 6",0.227872182705898,0.472779374275317,"type_1"
"385","MPDZ","Multiple PDZ domain protein",0.227744377619292,0.774124033380398,"type_1"
"386","ATP5MJ","ATP synthase subunit ATP5MJ, mitochondrial",0.227600881605648,0.482874502240823,"type_1"
"387","SNX12","Sorting nexin-12",0.227120772588476,0.523729244248346,"type_1"
"388","IARS2","Isoleucine--tRNA ligase, mitochondrial",0.227035789527395,0.185412359177389,"type_1"
"389","MAOA","Amine oxidase [flavin-containing] A",0.227035472249698,0.659688479628559,"type_1"
"390","PHKA1","Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform",0.226990999244485,0.40885447063199,"type_1"
"391","THAP4","Peroxynitrite isomerase THAP4",0.22677190508154,0.275789448880381,"type_1"
"392","COQ7","5-demethoxyubiquinone hydroxylase, mitochondrial",0.226484729812789,0.201056764270819,"type_1"
"393","SYPL1","Synaptophysin-like protein 1",0.226410893473465,0.59522853497702,"type_1"
"394","CAMK2D","Calcium/calmodulin-dependent protein kinase type II subunit delta",0.226354946932254,0.391683179016672,"type_1"
"395","CRYAB","Alpha-crystallin B chain",0.225669825020365,0.298600163349835,"type_1"
"396","ACTR3","Actin-related protein 3",0.225138920552967,0.454516280487836,"type_1"
"397","ESYT1","Extended synaptotagmin-1",0.224491160298657,0.232878878234431,"type_1"
"398","KIAA1217","Sickle tail protein homolog",0.223980159422673,0.556281594995649,"type_1"
"399","LMO7","LIM domain only protein 7",0.223954752493119,0.541723874124858,"type_1"
"400","GADD45GIP1","Growth arrest and DNA damage-inducible proteins-interacting protein 1",0.223296845883485,0.407344182099538,"type_1"
"401","EPS15L1","Epidermal growth factor receptor substrate 15-like 1",0.223268737773074,0.74726655612705,"type_1"
"402","FBLN5","Fibulin-5",0.222888731575035,0.570793663355309,"type_1"
"403","ELOB","Elongin-B",0.222549799482694,0.495882788852321,"type_1"
"404","COPG2","Coatomer subunit gamma-2",0.222408981459465,0.514436784590814,"type_1"
"405","PPP2CA","Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform",0.222312393554397,0.647346916362443,"type_1"
"406","HDHD2","Haloacid dehalogenase-like hydrolase domain-containing protein 2",0.221684123968895,0.378620333884819,"type_1"
"407","UBQLN2","Ubiquilin-2",0.221682923379079,0.485778500322611,"type_1"
"408","FKBP3","Peptidyl-prolyl cis-trans isomerase FKBP3",0.220418237423255,0.374741539640286,"type_1"
"409","MT-CO2","Cytochrome c oxidase subunit 2",0.220338097107607,0.40761405549502,"type_1"
"410","NUDT2","Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]",0.220163428625451,0.460316381263195,"type_1"
"411","TGM2","Protein-glutamine gamma-glutamyltransferase 2",0.220102505991417,0.429199005985363,"type_1"
"412","KLHL41","Kelch-like protein 41",0.219427500259687,0.264449556489203,"type_1"
"413","RSU1","Ras suppressor protein 1",0.218773662885086,0.525924086764073,"type_1"
"414","NPEPL1","Probable aminopeptidase NPEPL1",0.217929406761131,0.284730822302244,"type_1"
"415","ATPAF2","ATP synthase mitochondrial F1 complex assembly factor 2",0.217882356852691,0.457333621875542,"type_1"
"416","VCL","Vinculin",0.217466010566,0.278509834290815,"type_1"
"417","PDHX","Pyruvate dehydrogenase protein X component, mitochondrial",0.217366424716321,0.290199932058585,"type_1"
"418","UBE2F","NEDD8-conjugating enzyme UBE2F",0.215884103727539,0.507721054141479,"type_1"
"419","NDUFAF6","NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",0.215075493965815,0.472779374275317,"type_1"
"420","TUBA4A","Tubulin alpha-4A chain",0.215055224930296,0.257199811838087,"type_1"
"421","ACOT13","Acyl-coenzyme A thioesterase 13",0.214877440867651,0.487155188377518,"type_1"
"422","ETHE1","Persulfide dioxygenase ETHE1, mitochondrial",0.214633549601238,0.259591547976377,"type_1"
"423","VAMP5","Vesicle-associated membrane protein 5",0.214418586152348,0.554638111543525,"type_1"
"424","MLH3","DNA mismatch repair protein Mlh3",0.21422310434585,0.49384485510586,"type_1"
"425","RPL17","60S ribosomal protein L17",0.213975953471751,0.655492935057226,"type_1"
"426","BAG6","Large proline-rich protein BAG6",0.213973437665761,0.267132055199581,"type_1"
"427","PRDX3","Thioredoxin-dependent peroxide reductase, mitochondrial",0.21367460922216,0.267132055199581,"type_1"
"428","PF4","Platelet factor 4",0.213548024769933,0.725147808826579,"type_1"
"429","NFS1","Cysteine desulfurase",0.213392071281438,0.641279097398825,"type_1"
"430","TPT1","Translationally-controlled tumor protein",0.213326360160496,0.209322807378264,"type_1"
"431","MKNK1","MAP kinase-interacting serine/threonine-protein kinase 1",0.213309926611972,0.592520009811549,"type_1"
"432","TSFM","Elongation factor Ts, mitochondrial",0.213167810755273,0.438743331727393,"type_1"
"433","EEF1G","Elongation factor 1-gamma",0.212986485653126,0.185412359177389,"type_1"
"434","PGM2L1","Glucose 1,6-bisphosphate synthase",0.212858374189967,0.267132055199581,"type_1"
"435","KPNA6","Importin subunit alpha-7",0.212790089515037,0.600512265323577,"type_1"
"436","PSMD9","26S proteasome non-ATPase regulatory subunit 9",0.212385057388259,0.469423161785803,"type_1"
"437","PLIN3","Perilipin-3",0.212383970765838,0.383109632986843,"type_1"
"438","IMPA1","Inositol monophosphatase 1",0.212382781966742,0.223104844360673,"type_1"
"439","CPNE1","Copine-1",0.212372814740778,0.488774736110401,"type_1"
"440","NDUFAF5","Arginine-hydroxylase NDUFAF5, mitochondrial",0.211631771957309,0.514436784590814,"type_1"
"441","ATP5F1A","ATP synthase subunit alpha, mitochondrial",0.21141492258587,0.298600163349835,"type_1"
"442","VPS45","Vacuolar protein sorting-associated protein 45",0.211309314675036,0.56934298133583,"type_1"
"443","MRPS36","Alpha-ketoglutarate dehydrogenase component 4",0.210013105697506,0.343780956773906,"type_1"
"444","BPGM","Bisphosphoglycerate mutase",0.209520289724679,0.647346916362443,"type_1"
"445","YARS1","Tyrosine--tRNA ligase, cytoplasmic",0.209201118360888,0.390023065576227,"type_1"
"446","DLAT","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",0.209168978349368,0.375822634640152,"type_1"
"447","SPG7","Paraplegin",0.208794141807127,0.298600163349835,"type_1"
"448","AHSA1","Activator of 90 kDa heat shock protein ATPase homolog 1",0.208619415812388,0.455966868843748,"type_1"
"449","PELO","Protein pelota homolog",0.208438558200353,0.474581652337036,"type_1"
"450","OXR1","Oxidation resistance protein 1",0.208179425488586,0.467025680795079,"type_1"
"451","RAN","GTP-binding nuclear protein Ran",0.208158417827581,0.484557244095669,"type_1"
"452","RNF114","E3 ubiquitin-protein ligase RNF114",0.207665461787961,0.543728480931481,"type_1"
"453","IARS1","Isoleucine--tRNA ligase, cytoplasmic",0.207530638605007,0.383145693049651,"type_1"
"454","RPL3L","60S ribosomal protein L3-like",0.207477902660333,0.484557244095669,"type_1"
"455","CAB39","Calcium-binding protein 39",0.207333845321704,0.378620333884819,"type_1"
"456","WASHC5","WASH complex subunit 5",0.207267812348725,0.48728397572392,"type_1"
"457","DNAH10","Dynein axonemal heavy chain 10",0.207172665271226,0.608303314983587,"type_1"
"458","SKP1","S-phase kinase-associated protein 1",0.206976384322235,0.573305172934083,"type_1"
"459","PMPCB","Mitochondrial-processing peptidase subunit beta",0.206573257591678,0.300154087305855,"type_1"
