"","Gene_name","Description","log2FC_post-pre","q-value","sex","fiber_type"
"288","COMTD1","Catechol O-methyltransferase domain-containing protein 1",0.253208288516905,0.404197980293522,"female","type_1"
"289","TYMP","Thymidine phosphorylase",0.253051620872592,0.311242283252632,"female","type_1"
"290","GSTK1","Glutathione S-transferase kappa 1",0.252719762736724,0.0701113990562215,"female","type_1"
"291","CAMK2A","Calcium/calmodulin-dependent protein kinase type II subunit alpha",0.252338723904693,0.304592892464512,"female","type_1"
"292","SYNJ2BP","Synaptojanin-2-binding protein",0.252330822728899,0.442657913183842,"female","type_1"
"293","REEP5","Receptor expression-enhancing protein 5",0.252234872744184,0.137359282442055,"female","type_1"
"294","VAMP5","Vesicle-associated membrane protein 5",0.252037556974875,0.292726527359862,"female","type_1"
"295","YAP1","Transcriptional coactivator YAP1",0.251715270610557,0.216553666042164,"female","type_1"
"296","RPL22","60S ribosomal protein L22",0.251652026465022,0.096247296272504,"female","type_1"
"297","UBE3C","Ubiquitin-protein ligase E3C",0.251609857350171,0.448944144197163,"female","type_1"
"298","PPP1R14C","Protein phosphatase 1 regulatory subunit 14C",0.251575959373108,0.464503216467695,"female","type_1"
"299","PFN2","Profilin-2",0.250971666231003,0.177836496230084,"female","type_1"
"300","HTATSF1","HIV Tat-specific factor 1",0.250854220099299,0.369372265181348,"female","type_1"
"301","HYOU1","Hypoxia up-regulated protein 1",0.250657878047296,0.0701113990562215,"female","type_1"
"302","GORASP2","Golgi reassembly-stacking protein 2",0.250163692171295,0.336482113319088,"female","type_1"
"303","CSPG4","Chondroitin sulfate proteoglycan 4",0.249651411634222,0.368343595199338,"female","type_1"
"304","CALM1","Calmodulin-1",0.249533408016299,0.219252488743244,"female","type_1"
"305","HSBP1","Heat shock factor-binding protein 1",0.249457601798133,0.418907755202572,"female","type_1"
"306","SEPHS2","Selenide, water dikinase 2",0.249387820583248,0.315275439628164,"female","type_1"
"307","MRPL53","39S ribosomal protein L53, mitochondrial",0.249314377143497,0.24618215889535,"female","type_1"
"308","CLPB","Caseinolytic peptidase B protein homolog",0.248832355347266,0.301335289483931,"female","type_1"
"309","OXR1","Oxidation resistance protein 1",0.248507366392658,0.205835458323824,"female","type_1"
"310","ADPRH","ADP-ribosylhydrolase ARH1",0.247724165272857,0.286343084912752,"female","type_1"
"311","VAT1","Synaptic vesicle membrane protein VAT-1 homolog",0.247554281259582,0.265181663725436,"female","type_1"
"312","TBCA","Tubulin-specific chaperone A",0.247329761586913,0.135218604956289,"female","type_1"
"313","GMPR","GMP reductase 1",0.246435829222586,0.231196099657018,"female","type_1"
"314","ATP1A1","Sodium/potassium-transporting ATPase subunit alpha-1",0.246016229335931,0.138865119579375,"female","type_1"
"315","COX20","Cytochrome c oxidase assembly protein COX20, mitochondrial",0.244558848277448,0.452205507008343,"female","type_1"
"316","BAX","Apoptosis regulator BAX",0.244364297072311,0.191448895222228,"female","type_1"
"317","CMAS","N-acylneuraminate cytidylyltransferase",0.243886438452995,0.311756754143332,"female","type_1"
"318","ADPRHL1","Inactive ADP-ribosyltransferase ARH2",0.241952609439057,0.0608178012915073,"female","type_1"
"319","GMFB","Glia maturation factor beta",0.241942951571728,0.324334953931345,"female","type_1"
"320","LAMTOR1","Ragulator complex protein LAMTOR1",0.241886962017475,0.193941701602094,"female","type_1"
"321","GSTT2","Glutathione S-transferase theta-2",0.24184263001227,0.629432042206308,"female","type_1"
"322","DYNLL2","Dynein light chain 2, cytoplasmic",0.241187677448826,0.262684952572793,"female","type_1"
"323","HSPB2","Heat shock protein beta-2",0.239694932289169,0.17154299716651,"female","type_1"
"324","DBN1","Drebrin",0.239663772112387,0.477087370398161,"female","type_1"
"325","TMEM43","Transmembrane protein 43",0.23901881883436,0.194797516298917,"female","type_1"
"326","ARL6IP5","PRA1 family protein 3",0.238904401859875,0.24618215889535,"female","type_1"
"327","KLHL41","Kelch-like protein 41",0.237818132435244,0.0941969806281969,"female","type_1"
"328","MRPL30","39S ribosomal protein L30, mitochondrial",0.237265914888383,0.580250988367517,"female","type_1"
"329","MRPL13","39S ribosomal protein L13, mitochondrial",0.237143020077793,0.196281080086117,"female","type_1"
"330","CROCC","Rootletin",0.236350781431106,0.547792713981965,"female","type_1"
"331","CLIC1","Chloride intracellular channel protein 1",0.236316717932681,0.305054765985796,"female","type_1"
"332","GAA","Lysosomal alpha-glucosidase",0.236293510997367,0.20167584078455,"female","type_1"
"333","BOLA2B","BolA-like protein 2",0.235992645104085,0.142954964288335,"female","type_1"
"334","COX7C","Cytochrome c oxidase subunit 7C, mitochondrial",0.235658099595904,0.332982910949294,"female","type_1"
"335","MANF","Mesencephalic astrocyte-derived neurotrophic factor",0.235479772950841,0.371806270965071,"female","type_1"
"336","CD38","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1",0.235418444953828,0.409972632552129,"female","type_1"
"337","PPP1R14B","Protein phosphatase 1 regulatory subunit 14B",0.235106200704784,0.492117763963272,"female","type_1"
"338","MTIF2","Translation initiation factor IF-2, mitochondrial",0.234334521332423,0.352186373055731,"female","type_1"
"339","PPP6R3","Serine/threonine-protein phosphatase 6 regulatory subunit 3",0.234175378731404,0.0803300083492991,"female","type_1"
"340","PDK2","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial",0.233399736426605,0.334749587343499,"female","type_1"
"341","FDX2","Ferredoxin-2, mitochondrial",0.233271672265706,0.655412308564109,"female","type_1"
"342","ECM1","Extracellular matrix protein 1",0.232622812570275,0.529147307631151,"female","type_1"
"343","SH3KBP1","SH3 domain-containing kinase-binding protein 1",0.232584066955303,0.459088017704825,"female","type_1"
"344","VCL","Vinculin",0.232576548255047,0.112365667055007,"female","type_1"
"345","CAPZA1","F-actin-capping protein subunit alpha-1",0.232007843378682,0.138865119579375,"female","type_1"
"346","IARS1","Isoleucine--tRNA ligase, cytoplasmic",0.231754060099838,0.216553666042164,"female","type_1"
"347","GBE1","1,4-alpha-glucan-branching enzyme",0.231725869345548,0.134924312212991,"female","type_1"
"348","RHOC","Rho-related GTP-binding protein RhoC",0.231315703345574,0.254993365890123,"female","type_1"
"349","RPS27A","Ubiquitin-40S ribosomal protein S27a",0.230581881159594,0.108250514137651,"female","type_1"
"350","FNTA","Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha",0.230205311076149,0.0858088372749509,"female","type_1"
"351","TOMM40","Mitochondrial import receptor subunit TOM40 homolog",0.229925639280108,0.21731522471405,"female","type_1"
"352","CPTP","Ceramide-1-phosphate transfer protein",0.229628055468492,0.173506042241334,"female","type_1"
"353","TPRKB","EKC/KEOPS complex subunit TPRKB",0.229576329920775,0.451789385640331,"female","type_1"
"354","MYOT","Myotilin",0.229549775848351,0.0608178012915073,"female","type_1"
"355","MRPL12","39S ribosomal protein L12, mitochondrial",0.228945376910255,0.289235309085013,"female","type_1"
"356","AP2M1","AP-2 complex subunit mu",0.228369981474875,0.301335289483931,"female","type_1"
"357","LAP3","Cytosol aminopeptidase",0.228338314527102,0.07823001289299,"female","type_1"
"358","TUBA3C","Tubulin alpha-3C chain",0.227962651659841,0.283879644836547,"female","type_1"
"359","TOLLIP","Toll-interacting protein",0.227878414651386,0.205835458323824,"female","type_1"
"360","PSMD7","26S proteasome non-ATPase regulatory subunit 7",0.227668066979748,0.145608654750137,"female","type_1"
"361","ALDH1A2","Retinal dehydrogenase 2",0.227500337663118,0.451789385640331,"female","type_1"
"362","CRIP1","Cysteine-rich protein 1",0.227342086985619,0.4803959606028,"female","type_1"
"363","PCBP1","Poly(rC)-binding protein 1",0.22732780993675,0.126552794154936,"female","type_1"
"364","CDC34","Ubiquitin-conjugating enzyme E2 R1",0.226918161129918,0.32704126041701,"female","type_1"
"365","GLRX5","Glutaredoxin-related protein 5, mitochondrial",0.226909496833036,0.208416468872191,"female","type_1"
"366","ACE","Angiotensin-converting enzyme",0.226699682076923,0.376049781088644,"female","type_1"
"367","IGKV2-28","Immunoglobulin kappa variable 2-28",0.226341291537077,0.582437564909723,"female","type_1"
"368","NAA10","N-alpha-acetyltransferase 10",0.22596261857424,0.372412216275769,"female","type_1"
"369","PLIN2","Perilipin-2",0.224452362933448,0.452040902947878,"female","type_1"
"370","MRPS17","28S ribosomal protein S17, mitochondrial",0.223854200257874,0.336482113319088,"female","type_1"
"371","COX17","Cytochrome c oxidase copper chaperone",0.223393886964056,0.372480597902229,"female","type_1"
"372","SNAP29","Synaptosomal-associated protein 29",0.223188644006012,0.301335289483931,"female","type_1"
"373","BAG6","Large proline-rich protein BAG6",0.222528974774942,0.138865119579375,"female","type_1"
"374","HSPB7","Heat shock protein beta-7",0.222466470687305,0.155824055789438,"female","type_1"
"375","PPFIA4","Liprin-alpha-4",0.22222161500215,0.421780463298464,"female","type_1"
"376","PPCDC","Phosphopantothenoylcysteine decarboxylase",0.222087408832939,0.451789385640331,"female","type_1"
"377","LMOD3","Leiomodin-3",0.221677354198059,0.183935010827559,"female","type_1"
"378","HOOK3","Protein Hook homolog 3",0.221509116212507,0.253936969968843,"female","type_1"
"379","PHB1","Prohibitin 1",0.221201423567715,0.0619309869345179,"female","type_1"
"380","OSBPL9","Oxysterol-binding protein-related protein 9",0.221118436573381,0.361810671529448,"female","type_1"
"381","TUBB4B","Tubulin beta-4B chain",0.220976650756214,0.0726022874154567,"female","type_1"
"382","CORO6","Coronin-6",0.220894726909094,0.130898677665879,"female","type_1"
"383","TFG","Protein TFG",0.220682291051327,0.282872097986187,"female","type_1"
"384","NUDT3","Diphosphoinositol polyphosphate phosphohydrolase 1",0.220667132205394,0.435436197984657,"female","type_1"
"385","MAVS","Mitochondrial antiviral-signaling protein",0.220226417548767,0.350984684333834,"female","type_1"
"386","VPS25","Vacuolar protein-sorting-associated protein 25",0.220066013354693,0.200900239469894,"female","type_1"
"387","ENY2","Transcription and mRNA export factor ENY2",0.219575244428782,0.184526739136257,"female","type_1"
"388","PTGES2","Prostaglandin E synthase 2",0.219312476734222,0.0941969806281969,"female","type_1"
"389","ECHDC1","Ethylmalonyl-CoA decarboxylase",0.219295348700921,0.234297499496745,"female","type_1"
"390","VPS26A","Vacuolar protein sorting-associated protein 26A",0.21924370037682,0.193941701602094,"female","type_1"
"391","HSPB1","Heat shock protein beta-1",0.219099923304089,0.173583172976651,"female","type_1"
"392","ATP5IF1","ATPase inhibitor, mitochondrial",0.218974171976045,0.511036855702321,"female","type_1"
"393","HLA-B","HLA class I histocompatibility antigen, B alpha chain",0.218930059591932,0.306213829218493,"female","type_1"
"394","IGHV4-61","Immunoglobulin heavy variable 4-61",0.218728647410089,0.56718645541284,"female","type_1"
"395","GLTP","Glycolipid transfer protein",0.218656351225016,0.336279977204323,"female","type_1"
"396","IPO7","Importin-7",0.218527792390741,0.138865119579375,"female","type_1"
"397","PARVB","Beta-parvin",0.218475230458548,0.387964820819194,"female","type_1"
"398","NHLRC2","NHL repeat-containing protein 2",0.218362404315185,0.211317001323865,"female","type_1"
"399","COL6A3","Collagen alpha-3(VI) chain",0.218291035609722,0.196172982777052,"female","type_1"
"400","COPA","Coatomer subunit alpha",0.218167063027646,0.130898677665879,"female","type_1"
"401","FRMD8","FERM domain-containing protein 8",0.217529853277808,0.292726527359862,"female","type_1"
"402","HSP90B1","Endoplasmin",0.216860488275033,0.0908250871940406,"female","type_1"
"403","DNAH10","Dynein axonemal heavy chain 10",0.216573628293403,0.39867422705555,"female","type_1"
"404","BCKDK","[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",0.216572791054668,0.156011061218681,"female","type_1"
"405","ACYP2","Acylphosphatase-2",0.216473082803667,0.312053091297389,"female","type_1"
"406","RNPEP","Aminopeptidase B",0.21646196982041,0.357744235302772,"female","type_1"
"407","HMBS","Porphobilinogen deaminase",0.216326564552883,0.225206346650145,"female","type_1"
"408","OPA1","Dynamin-like 120 kDa protein, mitochondrial",0.216260828848801,0.0608178012915073,"female","type_1"
"409","NUP155","Nuclear pore complex protein Nup155",0.216147321000134,0.360732904244625,"female","type_1"
"410","PXDN","Peroxidasin homolog",0.216124146384249,0.463429957746431,"female","type_1"
"411","FAHD2A","Fumarylacetoacetate hydrolase domain-containing protein 2A",0.216096352314453,0.160306986720621,"female","type_1"
"412","RPS19","40S ribosomal protein S19",0.215941213818276,0.328449076422455,"female","type_1"
"413","IDH3B","Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",0.21589991966523,0.0858088372749509,"female","type_1"
"414","UBXN6","UBX domain-containing protein 6",0.215698489503017,0.567613867352472,"female","type_1"
"415","NME1","Nucleoside diphosphate kinase A",0.215631138569123,0.234765264278247,"female","type_1"
"416","LAMA4","Laminin subunit alpha-4",0.215364363621367,0.262684952572793,"female","type_1"
"417","CAMK2B","Calcium/calmodulin-dependent protein kinase type II subunit beta",0.215027714172377,0.149417953893172,"female","type_1"
"418","QRSL1","Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial",0.214809973260094,0.368343595199338,"female","type_1"
"419","BCKDHA","2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",0.214760013327787,0.273931394050002,"female","type_1"
"420","PLIN5","Perilipin-5",0.214716847181728,0.313679835382993,"female","type_1"
"421","DES","Desmin",0.213400433979327,0.145608654750137,"female","type_1"
"422","RANBP1","Ran-specific GTPase-activating protein",0.213376501625236,0.322172845190932,"female","type_1"
"423","RCN3","Reticulocalbin-3",0.21321346008091,0.538241552992789,"female","type_1"
"424","MOCS3","Adenylyltransferase and sulfurtransferase MOCS3",0.213211841081881,0.51991749722347,"female","type_1"
"425","CAB39","Calcium-binding protein 39",0.212865642137576,0.231196099657018,"female","type_1"
"426","CCDC124","Coiled-coil domain-containing protein 124",0.212617548775601,0.282872097986187,"female","type_1"
"427","POLDIP2","Polymerase delta-interacting protein 2",0.212404960356263,0.208416468872191,"female","type_1"
"428","ARHGDIB","Rho GDP-dissociation inhibitor 2",0.212350388368431,0.289235309085013,"female","type_1"
"429","COX7A2L","Cytochrome c oxidase subunit 7A-related protein, mitochondrial",0.212276596336309,0.495198294486913,"female","type_1"
"430","BSG","Basigin",0.212272071372434,0.112365667055007,"female","type_1"
"431","MRPS10","28S ribosomal protein S10, mitochondrial",0.212027257104049,0.356276041552048,"female","type_1"
"432","TRIP10","Cdc42-interacting protein 4",0.211758550035722,0.231196099657018,"female","type_1"
"433","TXNDC5","Thioredoxin domain-containing protein 5",0.211754008621691,0.132332424149201,"female","type_1"
"434","CAPN2","Calpain-2 catalytic subunit",0.211227938675796,0.149417953893172,"female","type_1"
"435","SCFD1","Sec1 family domain-containing protein 1",0.211183767643703,0.138865119579375,"female","type_1"
"436","MRPL4","39S ribosomal protein L4, mitochondrial",0.211004053747756,0.35344145526106,"female","type_1"
"437","LMCD1","LIM and cysteine-rich domains protein 1",0.210890595496444,0.173583172976651,"female","type_1"
"438","CFL1","Cofilin-1",0.210556790677655,0.322689087236318,"female","type_1"
"439","NDUFV3","NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",0.210545933853373,0.492117763963272,"female","type_1"
"440","GGCT","Gamma-glutamylcyclotransferase",0.210142894910957,0.312287536923105,"female","type_1"
"441","CIAPIN1","Anamorsin",0.209592053280957,0.198588834585798,"female","type_1"
"442","ADSS1","Adenylosuccinate synthetase isozyme 1",0.20939140254451,0.107059285003795,"female","type_1"
